ProductKey,Unitprice,ProductAlternateKey,ProductSubcategoryKey,ProductName,StandardCost,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,ListPrice,Size,SizeRange,Weight,DaysToManufacture,ProductLine,DealerPrice,Class,Style,ModelName,Description,StartDate,EndDate,Status,ProductSubcategoryName,ProductCategoryKey,ProductCategoryName
1,0,AR-5381,0,Adjustable Race,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
2,0,BA-8327,0,Bearing Ball,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
3,0,BE-2349,0,BB Ball Bearing,0,FALSE,NA,800,600,0,NA,NA,0,1,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
4,0,BE-2908,0,Headset Ball Bearings,0,FALSE,NA,800,600,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
5,0,BL-2036,0,Blade,0,FALSE,NA,800,600,0,NA,NA,0,1,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
6,0,CA-5965,0,LL Crankarm,0,FALSE,Black,500,375,0,NA,NA,0,0,NA,0,L ,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
7,0,CA-6738,0,ML Crankarm,0,FALSE,Black,500,375,0,NA,NA,0,0,NA,0,M ,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
8,0,CA-7457,0,HL Crankarm,0,FALSE,Black,500,375,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
9,0,CB-2903,0,Chainring Bolts,0,FALSE,Silver,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
10,0,CN-6137,0,Chainring Nut,0,FALSE,Silver,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
11,0,CR-7833,0,Chainring,0,FALSE,Black,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
12,0,CR-9981,0,Crown Race,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
13,0,CS-2812,0,Chain Stays,0,FALSE,NA,1000,750,0,NA,NA,0,1,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
14,0,DC-8732,0,Decal 1,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
15,0,DC-9824,0,Decal 2,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
16,0,DT-2377,0,Down Tube,0,FALSE,NA,800,600,0,NA,NA,0,1,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
17,0,EC-M092,0,Mountain End Caps,0,FALSE,NA,1000,750,0,NA,NA,0,1,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
18,0,EC-R098,0,Road End Caps,0,FALSE,NA,1000,750,0,NA,NA,0,1,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
19,0,EC-T209,0,Touring End Caps,0,FALSE,NA,1000,750,0,NA,NA,0,1,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
20,0,FE-3760,0,Fork End,0,FALSE,NA,800,600,0,NA,NA,0,1,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
21,0,FH-2981,0,Freewheel,0,FALSE,Silver,500,375,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
22,0,FW-1000,0,Flat Washer 1,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
23,0,FW-1200,0,Flat Washer 6,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
24,0,FW-1400,0,Flat Washer 2,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
25,0,FW-3400,0,Flat Washer 9,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
26,0,FW-3800,0,Flat Washer 4,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
27,0,FW-5160,0,Flat Washer 3,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
28,0,FW-5800,0,Flat Washer 8,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
29,0,FW-7160,0,Flat Washer 5,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
30,0,FW-9160,0,Flat Washer 7,0,FALSE,NA,1000,750,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
31,0,FC-3654,0,Fork Crown,0,FALSE,NA,800,600,0,NA,NA,0,1,NA,0,NA,NA,NA,NA,01-07-2003,17-01-2025,Current,NA,0,NA
